題	問題文	配点	正答	解説	選択肢			
第１問	訴状の記載事項に関する説明として，次の記述のうち誤っているものはどれか。	1	4		当事者及び法定代理人は，訴状に必ず記載しなければならない。	請求の趣旨及び原因は，訴状に必ず記載しなければならない。	原告の送達を受ける場所の届出は，できる限り訴状に記載しなければならない。	訴訟物の価額と印紙額を訴状に必ず記載しなければならない。
第２問	訴状の附属書類，添付書類として必ずしも提出が求められていないものはどれか。	1	2		当事者である会社の代表者の資格証明書（登記事項証明書）	人事訴訟事件における当事者の住民票	不動産に関する事件における不動産登記事項証明書	手形又は小切手に関する事件における手形又は小切手の写し
第３問	民事訴訟における管轄に関する次の記述のうち，誤っているものはどれか。	1	2		被告の住所地を管轄する裁判所には，特別の場合を除いて管轄がある。	専属管轄の定めがある訴訟でも，当事者の合意があれば他の裁判所にも管轄が生じる。	被告会社の本店が大阪にあっても，東京営業所との取引に関する訴えであれば，東京の裁判所にも管轄がある。	損害賠償請求事件や不当利得返還請求事件では，原告の住所地を管轄する裁判所にも管轄がある。
第４問	訴訟物の価額（訴額）算定に関する次の記述のうち，誤っているものはどれか。	1	1		建物明渡請求事件において，通常，未払賃料は附帯請求となるが，建物の価額よりも未払賃料額の方が多い場合には，訴額は多い方に吸収され，未払賃料額が訴額になる。	離婚とその原因についての慰謝料請求とを併合する場合は，離婚の訴額１６０万円と慰謝料額を比較して多い方の額が訴額となる。	貸金請求訴訟において元本と一緒に利息や遅延損害金を請求する場合には，利息・損害金ともに附帯請求なので訴額に算入しない。	抵当権の被担保債権についての債務不存在確認と抵当権抹消登記手続請求とを併合する場合には，それぞれの訴額を計算してその多い方が訴額になる。
第５問	訴状に記載する請求の趣旨に関する次の記述のうち正しいものはどれか。	1	3		貸金請求事件の訴状では，被告から支払を求める金員が貸金であることを請求の趣旨で明らかにする必要がある。	建物明渡請求事件の訴状では，別紙物件目録等を使用し，請求の趣旨で明渡しを求める対象を明らかにするが，対象が建物の一部の場合は，部屋番号等で特定できればその面積までは記載する必要はない。	消費者金融等に対し過払金を請求する不当利得返還請求事件の訴状で，過払金に利息を付して請求する場合には，利率についても，請求の趣旨で明記する必要がある。	離婚訴訟の訴状では，請求の趣旨で「被告は原告に対し離婚せよ」と記載し，原告が被告に対し離婚を求めていることを明らかにする必要がある。
第６問	民事訴訟における送達に関する次の記述のうち誤っているものはどれか。	1	2		当事者は，書面で送達場所の届出をしなければならない。	送達方法については，当事者は上申することはできるが，裁判官が職権で決める。	被告の住所地への特別送達が「転居先不明」で裁判所に戻った場合には，就業場所が判明していれば，就業場所に送達することも可能である。	書留郵便に付する送達を実施した場合には，発送日が送達日となる。
第７問	民事訴訟の証拠に関する次の記述のうち，誤っているものはどれか。	1	4		書証は，原告提出のものは甲号証，被告提出のものは乙号証として作成し，証拠説明書も提出するように求められている。	人証を請求する場合には，証拠申出書という書面を裁判所に提出する。	証拠には書証の他に証人尋問，当事者尋問，検証，鑑定がある。	書証及び証拠説明書は，準備書面と同様，ファクシミリでの提出及び直送が原則とされている。
第８問	民事訴訟における判決に関する次の記述のうち，正しいものはどれか。	1	3		判決の言渡期日には，当事者双方が出頭しなくては，裁判所は判決の言渡しをすることができない。	仮執行宣言が付された給付判決については，執行文付与の必要はなく，直ちに強制執行に着手できる。	仮執行宣言に基づく原告の強制執行は，被告の控訴によって当然には停止されない。	「訴訟費用は被告の負担とする」との記載がある判決が確定したときには，原告はこの判決に基づき，直ちに被告に対して訴訟費用を請求できる。
第９問	支払督促手続に関する次の記述のうち，誤っているものはどれか。	1	1		支払督促は，金銭その他の代替物又は有価証券の一定の数量の給付を目的とする，１４０万円を超えない請求のものに限られる。	支払督促申立書には，通常は，証拠書類を添付する必要はない。	支払督促は，通常，債務者の普通裁判籍所在地を管轄する簡易裁判所書記官に対し申し立てる。	仮執行宣言付支払督促正本が債務者に送達されると，確定を待たずに執行力ある債務名義となる。
第１０問	証拠保全手続についての次の記述のうち，誤っているものはどれか。	1	3		訴え提起前の証拠保全申立ての管轄は，尋問を受けるべき者若しくは文書を所持する者の居所又は検証物の所在地を管轄する地方裁判所か簡易裁判所になる。	訴え提起前の証拠保全申立てには手数料が必要となるが，訴え提起後の申立ての場合には手数料は不要である。	証拠保全決定正本は事前に相手方に送達する必要があるので，裁判所書記官は原則として決定後直ちに特別送達により送達する。	証拠保全の決定に対しては，不服を申し立てることができない。
