題	問題文	配点	正答	解説	選択肢			
第１問	訴状の記載事項である当事者の表示に関する次の記述のうち，誤っているものはどれか。	1	4		住所は現実の住所で足り，住民票上の住所と必ずしも一致していなくてもよいが，住民票上の住所も併記した方がよい。	離婚訴訟などの人事訴訟の場合には住所の他に本籍地も記載する。	被告の現在の住所や居所が不明の場合には「住居所不明」とし， 後の住所を記載する。	当事者が会社の場合は，本店所在地と商号のほか，代表者の住所・氏名を記載する。
第２問	民事訴訟の管轄に関する次の記述のうち，誤っているものはどれか。	1	2		非財産権上の請求に関する訴えは，簡易裁判所には管轄はない。	原告の住所地を管轄する裁判所には専属管轄の事件を除き，原則として管轄が生じる。	会社とその代表者個人との２名を被告として訴えを提起する場合に，それぞれの普通裁判籍所在地が異なる場合には，原則としてどちらの管轄裁判所に訴えを提起してもよい。	専属管轄の定めのある事件についてはそれ以外の裁判所には合意管轄は生じない。
第３問	訴状が被告に不送達となった場合の送達実務について，誤っているものはどれか。	1	1		被告に対し，訴状記載の住所への特別送達が留置期間経過で不送達となったが，被告がその住所に居住していることが明白な場合には，仮に就業場所が判明していても，その住所への送達方法を検討しなければならない。	被告の住民票を取り寄せたところ転居していることが判明した場合は，その住民票を添付して転居先への送達を上申すれば，通常は書記官の権限により再送達を実施する。	被告会社の登記簿上の本店所在地への送達が不送達になった場合に，被告の代表者の住所が判明していれば，その代表者の住所へ会社に対する訴状を送達することは可能である。	被告の住所，居所，その他の送達すべき場所が判明しない場合には，申立てによりまたは裁判所の命により，裁判所書記官は公示送達を実施することができる。
第４問	被告の答弁書に関する次の記述のうち誤っているものはどれか。	1	2		答弁書催告状に答弁書の提出の期限として「口頭弁論期日の１週間前」と記載されている場合でも，必ずしもその期限までに答弁書を提出する必要はない。	答弁書は被告が 初に提出する書面なので，事実上事前にファクシミリで送付することはできるが，別途口頭弁論期日当日までに正式に正本と副本を裁判所に提出する必要がある。	被告の送達場所の届出は，答弁書に記載して行うことができる。	答弁書を提出していれば，第１回期日に被告が欠席しても裁判所は答弁書を陳述したこととみなすことができる。
第５問	民事訴訟に関する次の記述のうち適切でないものはどれか。	1	4		被告が原告の主張事実を認めると当該事実は「当事者間に争いのない事実」となるので特に証明は必要ない。	被告が原告の主張事実を否認した場合は，その事実の有無は争われることになり，請求原因に関するものは原告に証明責任が生じる。	「不知」というのは，主張事実を「知らない」「分からない」と主張することで，「否認」と推定される。	「争う」というのは，相手の主張事実を否認するのではなく別の事実を主張して反論することで，争う側が立証責任を負う。
第６問	民事訴訟の終了に関する次の記述のうち，正しいものはどれか。	1	4		被告が原告の請求を認諾した場合には，その旨を記載した調書判決が作成され訴訟は終了する。	原告は口頭弁論が終結するまでに限り，被告の同意を得て訴訟を取り下げることができる。	和解が成立すると和解調書が作成され，職権で当事者双方に送達される。	判決の言渡しは，調書判決の場合を除き，判決書ができていなければすることができない。
第７問	民事訴訟の判決における仮執行宣言に関する次の記述のうち，誤っているものはどれか。	1	4		判決に仮執行宣言が付されるのは，基本的には原告が求めた場合であるが，職権で付されることもある。	確認の訴えや形成の訴えの判決には仮執行宣言は付されることはない。	仮執行宣言を付すにあたって，担保を立てさせる場合もある。	一審判決に仮執行宣言が付されても，被告が控訴した場合には，控訴審の結論が出る前に強制執行に着手することはできない。
第８問	民事訴訟における上訴手続に関する次の記述のうち，誤っているものはどれか。	1	3		簡易裁判所の一審判決に対する控訴は，地方裁判所宛の控訴状を簡易裁判所に提出して行う。	平成２７年６月１日（月）に言い渡された判決の正本を同年６月４日（木）に特別送達で受領した場合，控訴の期限は，同年６月１８日（木）である。	上告状と上告受理申立書は一つの書面で作成することもでき，その場合の手数料は１件になるが，別々の書面で行いそれぞれ別々に提出した場合は手数料も別々で２件分になる。	控訴理由書の提出期限に遅れても当然に控訴棄却や却下とはならないが，上告理由書の提出期限に遅れると原則として上告が却下される。
第９問	支払督促手続に関する次の記述のうち，誤っているものはどれか。	1	1		支払督促の申立てを受けた簡易裁判所の裁判官は，申立内容を審査した上で，問題がなければ債務者を審尋することなく支払督促を発令する。	債務者への支払督促送達後２週間以内であれば，債務者はその支払督促に対して督促異議の申立てをすることができる。	支払督促に対し債務者から適法な督促異議の申立てがなされた場合は，その目的の価額に応じて，申立てを受けた簡易裁判所またはその所在地を管轄する地方裁判所における通常訴訟手続きに移行する。	支払督促に対し期間内に債務者からの異議申立てがなされなければ，債権者は仮執行宣言の申立てを行い，仮執行宣言付支払督促を得ることができる。
第１０問	民事調停手続が不成立に終わった後，その不成立及び手続き費用の証明書を添付して訴え提起をする場合に，次の記述のうち も正確なものはどれか。	1	2		民事調停が不成立となった後２週間以内に証明書を付けて訴え提起した場合には，訴えの手数料から調停の手数料は控除でき，訴状提出時に訴えが提起されたこととなる。	民事調停が不成立となった後２週間以内に証明書を付けて訴え提起した場合には，訴えの手数料から調停の手数料を控除でき，調停申立時に訴えが提起されたこととなる。	民事調停が不成立となり２週間を経過した後で訴え提起した場合には，訴えの手数料から調停の手数料は控除できるが，訴状提出時に訴えが提起されたこととなる。	民事調停が不成立となり２週間を経過した後で訴えを提起した場合には，手数料は控除できないが，調停申立時に訴えが提起されたこととなる。
